source,destination,fare,seats,rating,collection_date,journey_date,operator
pune,mumbai,1714,30,4.2,2026-06-02,2026-07-04,Nakoda Travels (Kolhapur)
pune,mumbai,550,31,4.1,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,18,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,1000,10,3.9,2026-06-02,2026-07-04,Shrinath Solitaire Premium Class
pune,mumbai,499,19,4.0,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,499,11,4.0,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,499,13,4.0,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,499,19,4.0,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,17,4.2,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,1800,17,4.2,2026-06-02,2026-07-04,Jay Khodiyar Bus Service Pvt Ltd
pune,mumbai,550,15,3.8,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,20,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,16,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,1900,10,3.9,2026-06-02,2026-07-04,Jay Khodiyar Bus Service Pvt Ltd
pune,mumbai,550,12,4.0,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,800,36,4.1,2026-06-02,2026-07-04,Matoshree Tourist
pune,mumbai,2000,50,4.1,2026-06-02,2026-07-04,Matoshree Tourist
pune,mumbai,800,24,3.8,2026-06-02,2026-07-04,Vigneshwar Travels
pune,mumbai,1000,30,3.7,2026-06-02,2026-07-04,Garud Travels
pune,mumbai,550,11,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,12,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,11,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,10,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,10,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,449,10,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,20,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,16,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,16,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,13,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,12,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,15,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,12,3.9,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,350,31,3.3,2026-06-02,2026-07-04,Shree Ganesh Tours And Travels (Pune)
pune,mumbai,3000,30,3.6,2026-06-02,2026-07-04,ANAND TRAVELS(amds)
pune,mumbai,350,25,3.2,2026-06-02,2026-07-04,Shree Ganesh Tours And Travels (Pune)
pune,mumbai,350,29,3.2,2026-06-02,2026-07-04,Shree Ganesh Tours And Travels (Pune)
pune,mumbai,2000,36,3.6,2026-06-02,2026-07-04,M B Link Tourist
pune,mumbai,2010,42,3.7,2026-06-02,2026-07-04,Konduskar Travels Pvt Ltd
pune,mumbai,2500,12,3.5,2026-06-02,2026-07-04,Naik Tours & Travels
pune,mumbai,1600,17,3.7,2026-06-02,2026-07-04,Jay Khodiyar Bus Service Pvt Ltd
pune,mumbai,4900,19,3.6,2026-06-02,2026-07-04,Neeta Tours And Travels
pune,mumbai,1800,30,3.6,2026-06-02,2026-07-04,Konduskar Travels Pvt Ltd
pune,mumbai,1800,42,3.6,2026-06-02,2026-07-04,Konduskar Travels Pvt Ltd
pune,mumbai,2000,34,3.4,2026-06-02,2026-07-04,G-Hyundai Travels
pune,mumbai,500,45,3.5,2026-06-02,2026-07-04,Vigneshwar Travels
pune,mumbai,399,11,3.6,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,800,11,3.3,2026-06-02,2026-07-04,Swami Travels
pune,mumbai,700,50,3.2,2026-06-02,2026-07-04,Vaishali Travels (Jath)
pune,mumbai,1300,17,3.0,2026-06-02,2026-07-04,Shree New Santinath Travels
pune,mumbai,600,12,3.4,2026-06-02,2026-07-04,Swami Travels
pune,mumbai,1361,36,3.6,2026-06-02,2026-07-04,Chartered Bus
pune,mumbai,550,15,3.6,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,550,19,3.6,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,1600,10,3.2,2026-06-02,2026-07-04,Manish Travels Private Limited
pune,mumbai,550,18,3.6,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,3000,25,3.2,2026-06-02,2026-07-04,ANAND TRAVELS(amds)
pune,mumbai,1500,18,3.5,2026-06-02,2026-07-04,Meera Tour & Travels
pune,mumbai,900,45,3.7,2026-06-02,2026-07-04,Garud Travels
pune,mumbai,2000,32,3.7,2026-06-02,2026-07-04,Garud Travels
pune,mumbai,999,27,3.2,2026-06-02,2026-07-04,Kohinoor Travels kono
pune,mumbai,4011,14,3.4,2026-06-02,2026-07-04,Dolphin Travel House
pune,mumbai,2000,30,3.1,2026-06-02,2026-07-04,Sanjay Travels-Ichalkarnji
pune,mumbai,550,15,3.3,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,3000,12,3.0,2026-06-02,2026-07-04,Shree Devnarayan Travels
pune,mumbai,2000,51,3.4,2026-06-02,2026-07-04,Jyotirling Travels (Dadar)
pune,mumbai,600,51,3.4,2026-06-02,2026-07-04,Jyotirling Travels (Dadar)
pune,mumbai,1100,26,3.5,2026-06-02,2026-07-04,Yash Yatra Tour Organiser Mumbai
pune,mumbai,1100,24,3.5,2026-06-02,2026-07-04,Yash Yatra Tour Organiser Mumbai
pune,mumbai,350,29,3.1,2026-06-02,2026-07-04,Shree Ganesh Tours And Travels (Pune)
pune,mumbai,2011,14,3.1,2026-06-02,2026-07-04,Dolphin Travel House
pune,mumbai,1099,33,3.2,2026-06-02,2026-07-04,Kohinoor Travels kono
pune,mumbai,700,18,3.1,2026-06-02,2026-07-04,Swami Travels
pune,mumbai,1000,35,3.0,2026-06-02,2026-07-04,Golden Metrolink
pune,mumbai,2999,30,2.8,2026-06-02,2026-07-04,Shree Balaji Tour and Travel
pune,mumbai,700,22,2.8,2026-06-02,2026-07-04,5 Star Travels(strr)
pune,mumbai,2000,12,2.8,2026-06-02,2026-07-04,Prajapat Travels
pune,mumbai,2500,20,2.8,2026-06-02,2026-07-04,Manish Travels Private Limited
pune,mumbai,2000,12,2.9,2026-06-02,2026-07-04,Manish Travels Private Limited
pune,mumbai,2400,24,2.8,2026-06-02,2026-07-04,ANAND TRAVELS(amds)
pune,mumbai,3000,26,2.6,2026-06-02,2026-07-04,ANAND TRAVELS(amds)
pune,mumbai,350,29,2.1,2026-06-02,2026-07-04,Shree Ganesh Tours And Travels (Pune)
pune,mumbai,1200,10,2.7,2026-06-02,2026-07-04,Krushna Tours And Travels
pune,mumbai,3000,36,2.5,2026-06-02,2026-07-04,ANAND TRAVELS(amds)
pune,mumbai,2000,36,2.8,2026-06-02,2026-07-04,Sanjay Travels-Ichalkarnji
pune,mumbai,1000,16,1.7,2026-06-02,2026-07-04,Mahadev Travels
pune,mumbai,3500,20,2.9,2026-06-02,2026-07-04,New Bishnoi Tour & Travels
pune,mumbai,3000,28,2.4,2026-06-02,2026-07-04,ANAND TRAVELS(amds)
pune,mumbai,3500,20,2.1,2026-06-02,2026-07-04,Shree Ganesh Travels(Barmer)
pune,mumbai,1999,36,2.4,2026-06-02,2026-07-04,Shefali Travels
pune,mumbai,500,13,2.0,2026-06-02,2026-07-04,Manish Travels Private Limited
pune,mumbai,5500,36,2.3,2026-06-02,2026-07-04,PVS Travels (Mumbai)
pune,mumbai,550,13,2.5,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,2000,13,1.7,2026-06-02,2026-07-04,R K Vishwakarma Tour And Travels
pune,mumbai,5500,30,2.0,2026-06-02,2026-07-04,PVS Travels 
pune,mumbai,2100,30,1.9,2026-06-02,2026-07-04,PVS Travels 
pune,mumbai,2000,18,1.6,2026-06-02,2026-07-04,Vishal Tour And Travels
pune,mumbai,1000,15,2.4,2026-06-02,2026-07-04,Krushna Tours And Travels
pune,mumbai,1000,16,2.4,2026-06-02,2026-07-04,Krushna Tours And Travels
pune,mumbai,5500,45,2.2,2026-06-02,2026-07-04,PVS Travels 
pune,mumbai,3100,18,1.6,2026-06-02,2026-07-04,Jay Khodiyar Bus Service Pvt Ltd
pune,mumbai,5500,40,2.2,2026-06-02,2026-07-04,PVS Travels 
pune,mumbai,5500,40,2.2,2026-06-02,2026-07-04,PVS Travels 
pune,mumbai,5500,40,2.2,2026-06-02,2026-07-04,PVS Travels 
pune,mumbai,6000,36,2.2,2026-06-02,2026-07-04,PVS Travels (Mumbai)
pune,mumbai,5500,34,2.2,2026-06-02,2026-07-04,PVS Travels 
pune,mumbai,5000,12,4.4,2026-06-02,2026-07-04,Shree Karni Travels Agency
pune,mumbai,2010,36,2.2,2026-06-02,2026-07-04,Sahara Travels Syndicate
pune,mumbai,699,42,3.4,2026-06-02,2026-07-04,Sairaj Tours & Travels
pune,mumbai,600,50,3.9,2026-06-02,2026-07-04,Shreeram Travels (srvl)
pune,mumbai,2000,2,3.9,2026-06-02,2026-07-04,Jagdamba Travels
pune,mumbai,1099,1,3.2,2026-06-02,2026-07-04,Kohinoor Travels kono
manglore,banglore,480,49,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,40,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,44,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,752,34,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,43,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,480,46,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1162,40,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,42,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,752,39,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1257,42,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1162,41,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,752,37,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1162,45,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,34,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1044,37,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,43,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,752,35,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1508,33,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1162,40,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,32,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1162,39,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,480,48,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,38,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,40,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,43,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,480,43,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,480,45,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,480,43,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1156,40,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1001,28,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,752,33,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,480,39,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1001,27,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,480,43,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,40,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1257,38,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1051,27,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,480,41,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,480,40,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,480,44,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1257,47,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1512,36,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,752,31,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1508,24,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1001,28,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1000,26,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,38,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1001,27,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1051,26,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,480,41,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,39,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1508,34,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1001,27,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,752,35,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1508,33,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1001,24,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1257,40,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1508,32,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1158,41,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1508,34,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1508,32,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1162,40,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1051,24,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,752,31,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1051,27,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1407,36,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1001,27,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1508,33,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1407,37,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1508,36,4.0,2026-06-03,2026-06-08,KSRTC Karnataka
manglore,banglore,1099,20,4.4,2026-06-03,2026-06-08,Intercity travels
manglore,banglore,1199,31,4.3,2026-06-03,2026-06-08,Khamsa Travels
manglore,banglore,1199,31,4.3,2026-06-03,2026-06-08,Khamsa Travels
manglore,banglore,650,25,4.1,2026-06-03,2026-06-08,Sai Sri Balaji Travels
manglore,banglore,650,25,4.1,2026-06-03,2026-06-08,Sai Sri Balaji Travels
manglore,banglore,700,24,4.6,2026-06-03,2026-06-08,Sri Durga Bus
manglore,banglore,950,26,4.4,2026-06-03,2026-06-08,Durgamba Motors
manglore,banglore,700,25,4.5,2026-06-03,2026-06-08,Sri Durga Bus
manglore,banglore,800,12,4.3,2026-06-03,2026-06-08,Dhriya Tourist Corporation
manglore,banglore,898,30,4.8,2026-06-03,2026-06-08,UK AIRBUS
manglore,banglore,989,36,4.8,2026-06-03,2026-06-08,UK AIRBUS
manglore,banglore,800,19,3.9,2026-06-03,2026-06-08,Dhriya Tourist Corporation
manglore,banglore,1199,25,4.6,2026-06-03,2026-06-08,Varad Lines
manglore,banglore,1199,25,4.5,2026-06-03,2026-06-08,Varad Lines
manglore,banglore,1474,31,4.8,2026-06-03,2026-06-08,Colliwaye
manglore,banglore,920,28,4.4,2026-06-03,2026-06-08,Durgamba Motors
manglore,banglore,1100,34,4.5,2026-06-03,2026-06-08,Kiara Travels
manglore,banglore,1299,31,4.7,2026-06-03,2026-06-08,EvoBUS
manglore,banglore,870,26,4.1,2026-06-03,2026-06-08,Durgamba Motors
manglore,banglore,1659,33,4.5,2026-06-03,2026-06-08,Aero Bus
manglore,banglore,1199,34,4.6,2026-06-03,2026-06-08,Khamsa Travels
manglore,banglore,1000,29,4.8,2026-06-03,2026-06-08,Soumya Travels(somy)
manglore,banglore,1299,26,4.5,2026-06-03,2026-06-08,Ram Dalal Holidays
manglore,banglore,1299,27,4.8,2026-06-03,2026-06-08,Varahi Tours And Travels
manglore,banglore,999,33,4.5,2026-06-03,2026-06-08,Cauvery Travels
manglore,banglore,1599,30,4.5,2026-06-03,2026-06-08,Aero Bus
manglore,banglore,4000,36,3.9,2026-06-03,2026-06-08,Sai Sri Balaji Travels
manglore,banglore,900,23,4.9,2026-06-03,2026-06-08,Soumya Travels(somy)
manglore,banglore,999,21,4.6,2026-06-03,2026-06-08,Greenline Travels and Holidays
manglore,banglore,700,21,4.1,2026-06-03,2026-06-08,Sri Durga Bus
manglore,banglore,1450,18,4.2,2026-06-03,2026-06-08,Sri Brahmi Tours and Travels
manglore,banglore,975,26,4.5,2026-06-03,2026-06-08,Sagar Transport
manglore,banglore,985,26,4.9,2026-06-03,2026-06-08,Sagar Transport
manglore,banglore,920,28,4.0,2026-06-03,2026-06-08,Durgamba Motors
manglore,banglore,830,20,4.2,2026-06-03,2026-06-08,Navadurga Bus
manglore,banglore,1299,28,4.9,2026-06-03,2026-06-08,Varahi Tours And Travels
manglore,banglore,900,27,4.0,2026-06-03,2026-06-08,Ideal Travels
manglore,banglore,900,26,4.2,2026-06-03,2026-06-08,Ideal Travels
manglore,banglore,900,26,4.3,2026-06-03,2026-06-08,Ideal Travels
manglore,banglore,1027,34,4.3,2026-06-03,2026-06-08,FlixBus
manglore,banglore,830,16,4.5,2026-06-03,2026-06-08,Navadurga Bus
manglore,banglore,808,30,4.0,2026-06-03,2026-06-08,Sri Durgamba Travels
manglore,banglore,1000,15,4.3,2026-06-03,2026-06-08,Kohinoor Travels
manglore,banglore,1599,34,4.7,2026-06-03,2026-06-08,Arjuna Travels(aujn)
manglore,banglore,765,22,4.8,2026-06-03,2026-06-08,Sugama  Tourists
manglore,banglore,1559,32,3.9,2026-06-03,2026-06-08,Aero Bus
manglore,banglore,900,26,4.3,2026-06-03,2026-06-08,Reshma Tourists
manglore,banglore,663,30,4.4,2026-06-03,2026-06-08,Sugama  Tourists
manglore,banglore,663,30,4.3,2026-06-03,2026-06-08,Sugama  Tourists
manglore,banglore,1400,28,4.4,2026-06-03,2026-06-08,Cauvery Travels
manglore,banglore,999,13,4.3,2026-06-03,2026-06-08,Aranha Travels
manglore,banglore,999,25,4.3,2026-06-03,2026-06-08,Aranha Travels
manglore,banglore,707,36,4.0,2026-06-03,2026-06-08,Sri Durgamba Travels
manglore,banglore,663,27,4.7,2026-06-03,2026-06-08,Sugama  Tourists
manglore,banglore,900,28,4.3,2026-06-03,2026-06-08,Ideal Travels
manglore,banglore,1200,22,4.5,2026-06-03,2026-06-08,Sai Durga Transport
manglore,banglore,1089,31,4.5,2026-06-03,2026-06-08,HYBUS
manglore,banglore,707,33,4.0,2026-06-03,2026-06-08,Sri Durgamba Travels
manglore,banglore,975,27,4.1,2026-06-03,2026-06-08,Sagar Transport
manglore,banglore,900,27,4.0,2026-06-03,2026-06-08,Ideal Travels
manglore,banglore,750,28,4.3,2026-06-03,2026-06-08,VRL Travels
